Likert_Q1,Likert_Q2,Likert_Q3,Likert_Q4,Likert_Q5,Likert_Q6,Likert_Q7,Open_Ended_Q1,Open_Ended_Q2,Open_Ended_Q3
5,3,4,3,3,1,3,I have mixed feelings about the healthcare system.,I believe in the doctors but not the administration.,I am not happy with the current state of healthcare.
5,3,1,5,2,3,1,There should be more focus on preventive care.,There needs to be more transparency in healthcare costs.,I am satisfied with the healthcare services I receive.
2,2,4,5,3,1,4,I am not happy with the current state of healthcare.,There needs to be more transparency in healthcare costs.,I have mixed feelings about the healthcare system.
5,4,5,5,3,5,4,The healthcare system is generally trustworthy but has some flaws.,Insurance companies have too much control over healthcare decisions.,I am satisfied with the healthcare services I receive.
5,3,3,4,2,2,5,There should be more focus on preventive care.,I am not happy with the current state of healthcare.,Insurance companies have too much control over healthcare decisions.
1,5,4,4,4,4,4,I have mixed feelings about the healthcare system.,I believe in the doctors but not the administration.,I have mixed feelings about the healthcare system.
3,2,4,1,1,1,1,There should be more focus on preventive care.,Insurance companies have too much control over healthcare decisions.,I believe in the doctors but not the administration.
3,1,4,5,1,3,3,Insurance companies have too much control over healthcare decisions.,Insurance companies have too much control over healthcare decisions.,I believe in the doctors but not the administration.
1,5,1,3,2,4,3,I have mixed feelings about the healthcare system.,I am not happy with the current state of healthcare.,Insurance companies have too much control over healthcare decisions.
1,4,1,1,2,4,4,I am satisfied with the healthcare services I receive.,I am satisfied with the healthcare services I receive.,I trust my local clinic but not the larger hospitals.
2,3,1,5,1,1,3,I am not happy with the current state of healthcare.,There should be more focus on preventive care.,Insurance companies have too much control over healthcare decisions.
1,2,2,4,5,1,1,The healthcare providers are overworked.,The healthcare providers are overworked.,Insurance companies have too much control over healthcare decisions.
3,2,5,4,2,4,3,The healthcare system is generally trustworthy but has some flaws.,There should be more focus on preventive care.,I am satisfied with the healthcare services I receive.
3,1,5,4,2,3,1,There needs to be more transparency in healthcare costs.,The healthcare system is generally trustworthy but has some flaws.,The healthcare system is generally trustworthy but has some flaws.
1,4,3,5,3,4,4,Insurance companies have too much control over healthcare decisions.,I believe in the doctors but not the administration.,I believe in the doctors but not the administration.
3,4,3,2,3,3,4,I trust my local clinic but not the larger hospitals.,There should be more focus on preventive care.,The healthcare system is generally trustworthy but has some flaws.
4,1,1,2,1,3,4,The healthcare providers are overworked.,The healthcare providers are overworked.,Insurance companies have too much control over healthcare decisions.
1,1,2,2,3,4,2,There needs to be more transparency in healthcare costs.,I trust my local clinic but not the larger hospitals.,I trust my local clinic but not the larger hospitals.
1,4,4,1,2,1,4,I have mixed feelings about the healthcare system.,I believe in the doctors but not the administration.,I believe in the doctors but not the administration.
5,5,3,1,1,3,3,I trust my local clinic but not the larger hospitals.,The healthcare providers are overworked.,I have mixed feelings about the healthcare system.
3,4,1,4,3,1,4,I believe in the doctors but not the administration.,Insurance companies have too much control over healthcare decisions.,I have mixed feelings about the healthcare system.
4,3,1,3,1,5,2,I believe in the doctors but not the administration.,There needs to be more transparency in healthcare costs.,I have mixed feelings about the healthcare system.
2,2,3,5,1,4,1,Insurance companies have too much control over healthcare decisions.,I am satisfied with the healthcare services I receive.,There should be more focus on preventive care.
4,1,5,4,3,1,1,I believe in the doctors but not the administration.,The healthcare system is generally trustworthy but has some flaws.,I am satisfied with the healthcare services I receive.
4,3,3,5,3,3,3,I trust my local clinic but not the larger hospitals.,The healthcare providers are overworked.,There needs to be more transparency in healthcare costs.
2,5,1,4,1,5,4,I trust my local clinic but not the larger hospitals.,There should be more focus on preventive care.,Insurance companies have too much control over healthcare decisions.
5,3,4,3,1,1,4,I am not happy with the current state of healthcare.,There needs to be more transparency in healthcare costs.,There needs to be more transparency in healthcare costs.
4,5,5,3,4,1,5,The healthcare providers are overworked.,There should be more focus on preventive care.,The healthcare providers are overworked.
5,1,5,3,4,1,4,The healthcare system is generally trustworthy but has some flaws.,I believe in the doctors but not the administration.,I am satisfied with the healthcare services I receive.
5,5,1,3,2,1,2,I am satisfied with the healthcare services I receive.,The healthcare providers are overworked.,I have mixed feelings about the healthcare system.
2,3,2,2,3,2,2,There should be more focus on preventive care.,There should be more focus on preventive care.,I believe in the doctors but not the administration.
2,1,1,1,3,5,2,I believe in the doctors but not the administration.,I am not happy with the current state of healthcare.,I am satisfied with the healthcare services I receive.
2,3,2,1,5,4,2,Insurance companies have too much control over healthcare decisions.,I have mixed feelings about the healthcare system.,There should be more focus on preventive care.
1,4,5,4,1,4,3,I believe in the doctors but not the administration.,There needs to be more transparency in healthcare costs.,I believe in the doctors but not the administration.
4,2,2,3,1,2,5,There should be more focus on preventive care.,I trust my local clinic but not the larger hospitals.,The healthcare system is generally trustworthy but has some flaws.
2,2,1,4,2,3,4,The healthcare providers are overworked.,There needs to be more transparency in healthcare costs.,There should be more focus on preventive care.
5,1,5,4,4,4,5,I am not happy with the current state of healthcare.,There should be more focus on preventive care.,The healthcare system is generally trustworthy but has some flaws.
4,5,4,3,4,5,2,I trust my local clinic but not the larger hospitals.,There should be more focus on preventive care.,I believe in the doctors but not the administration.
4,2,3,1,3,4,2,I am not happy with the current state of healthcare.,The healthcare system is generally trustworthy but has some flaws.,I have mixed feelings about the healthcare system.
2,5,2,5,1,4,5,I have mixed feelings about the healthcare system.,I am not happy with the current state of healthcare.,There needs to be more transparency in healthcare costs.
1,2,2,1,2,1,5,I believe in the doctors but not the administration.,I trust my local clinic but not the larger hospitals.,Insurance companies have too much control over healthcare decisions.
5,1,5,5,5,3,4,The healthcare system is generally trustworthy but has some flaws.,I am satisfied with the healthcare services I receive.,I am satisfied with the healthcare services I receive.
2,3,5,1,5,4,5,I have mixed feelings about the healthcare system.,The healthcare system is generally trustworthy but has some flaws.,I am satisfied with the healthcare services I receive.
1,4,5,4,2,2,5,The healthcare providers are overworked.,I believe in the doctors but not the administration.,I have mixed feelings about the healthcare system.
4,1,5,2,2,5,4,I believe in the doctors but not the administration.,I trust my local clinic but not the larger hospitals.,Insurance companies have too much control over healthcare decisions.
2,4,2,2,3,2,1,I have mixed feelings about the healthcare system.,The healthcare providers are overworked.,The healthcare system is generally trustworthy but has some flaws.
5,5,4,2,1,4,3,I believe in the doctors but not the administration.,I have mixed feelings about the healthcare system.,There needs to be more transparency in healthcare costs.
4,4,2,3,4,1,1,Insurance companies have too much control over healthcare decisions.,The healthcare system is generally trustworthy but has some flaws.,Insurance companies have too much control over healthcare decisions.
5,3,3,5,4,3,1,The healthcare providers are overworked.,I have mixed feelings about the healthcare system.,The healthcare system is generally trustworthy but has some flaws.
1,2,3,4,5,5,4,I am satisfied with the healthcare services I receive.,I am not happy with the current state of healthcare.,Insurance companies have too much control over healthcare decisions.
2,5,3,2,3,1,2,I trust my local clinic but not the larger hospitals.,I believe in the doctors but not the administration.,The healthcare providers are overworked.
5,2,2,2,2,3,1,There needs to be more transparency in healthcare costs.,I believe in the doctors but not the administration.,I am satisfied with the healthcare services I receive.
4,2,5,2,5,3,5,I trust my local clinic but not the larger hospitals.,I am satisfied with the healthcare services I receive.,The healthcare providers are overworked.
4,1,5,5,1,4,2,I trust my local clinic but not the larger hospitals.,I believe in the doctors but not the administration.,Insurance companies have too much control over healthcare decisions.
5,1,3,1,3,4,2,I have mixed feelings about the healthcare system.,There should be more focus on preventive care.,There should be more focus on preventive care.
1,5,4,1,5,1,3,The healthcare providers are overworked.,There needs to be more transparency in healthcare costs.,I am satisfied with the healthcare services I receive.
1,1,1,4,1,5,3,I believe in the doctors but not the administration.,There needs to be more transparency in healthcare costs.,There needs to be more transparency in healthcare costs.
3,1,4,4,5,1,3,I am not happy with the current state of healthcare.,I am satisfied with the healthcare services I receive.,I have mixed feelings about the healthcare system.
4,1,4,4,3,2,5,There needs to be more transparency in healthcare costs.,There should be more focus on preventive care.,The healthcare providers are overworked.
5,3,4,1,4,3,5,There should be more focus on preventive care.,There needs to be more transparency in healthcare costs.,I have mixed feelings about the healthcare system.
4,5,1,5,5,2,2,I have mixed feelings about the healthcare system.,The healthcare providers are overworked.,The healthcare system is generally trustworthy but has some flaws.
2,5,3,5,3,3,2,There needs to be more transparency in healthcare costs.,There should be more focus on preventive care.,I am not happy with the current state of healthcare.
4,1,2,2,4,1,5,I am satisfied with the healthcare services I receive.,I am not happy with the current state of healthcare.,There should be more focus on preventive care.
5,2,1,2,3,2,2,Insurance companies have too much control over healthcare decisions.,Insurance companies have too much control over healthcare decisions.,The healthcare system is generally trustworthy but has some flaws.
5,5,5,3,5,1,4,The healthcare providers are overworked.,I have mixed feelings about the healthcare system.,I trust my local clinic but not the larger hospitals.
1,1,5,4,4,4,3,There should be more focus on preventive care.,There should be more focus on preventive care.,The healthcare system is generally trustworthy but has some flaws.
5,4,3,2,2,3,3,I have mixed feelings about the healthcare system.,I have mixed feelings about the healthcare system.,The healthcare system is generally trustworthy but has some flaws.
5,5,2,4,2,4,4,I trust my local clinic but not the larger hospitals.,The healthcare providers are overworked.,I am not happy with the current state of healthcare.
5,1,1,3,5,4,1,The healthcare system is generally trustworthy but has some flaws.,Insurance companies have too much control over healthcare decisions.,I am satisfied with the healthcare services I receive.
4,1,1,1,5,2,4,I have mixed feelings about the healthcare system.,I trust my local clinic but not the larger hospitals.,There should be more focus on preventive care.
5,5,5,5,5,3,4,The healthcare system is generally trustworthy but has some flaws.,I am satisfied with the healthcare services I receive.,There should be more focus on preventive care.
5,4,3,3,4,1,2,I trust my local clinic but not the larger hospitals.,There should be more focus on preventive care.,There needs to be more transparency in healthcare costs.
1,1,1,5,3,1,3,Insurance companies have too much control over healthcare decisions.,I am satisfied with the healthcare services I receive.,The healthcare system is generally trustworthy but has some flaws.
4,2,4,4,5,2,4,The healthcare providers are overworked.,I believe in the doctors but not the administration.,There should be more focus on preventive care.
4,2,2,4,2,4,4,I believe in the doctors but not the administration.,I have mixed feelings about the healthcare system.,I believe in the doctors but not the administration.
5,1,4,3,1,1,1,I have mixed feelings about the healthcare system.,I have mixed feelings about the healthcare system.,There needs to be more transparency in healthcare costs.
5,4,5,4,5,5,3,I am not happy with the current state of healthcare.,I believe in the doctors but not the administration.,I believe in the doctors but not the administration.
5,2,3,5,1,2,2,I trust my local clinic but not the larger hospitals.,I trust my local clinic but not the larger hospitals.,I am not happy with the current state of healthcare.
2,3,5,5,1,1,2,I have mixed feelings about the healthcare system.,The healthcare system is generally trustworthy but has some flaws.,I believe in the doctors but not the administration.
1,3,5,2,1,3,3,I am satisfied with the healthcare services I receive.,I am not happy with the current state of healthcare.,I have mixed feelings about the healthcare system.
1,5,1,2,1,3,1,Insurance companies have too much control over healthcare decisions.,There should be more focus on preventive care.,Insurance companies have too much control over healthcare decisions.
5,4,1,5,5,3,5,I am satisfied with the healthcare services I receive.,I have mixed feelings about the healthcare system.,I believe in the doctors but not the administration.
5,5,5,2,2,3,1,There needs to be more transparency in healthcare costs.,I am not happy with the current state of healthcare.,I am not happy with the current state of healthcare.
5,1,1,3,5,5,4,The healthcare providers are overworked.,I have mixed feelings about the healthcare system.,I have mixed feelings about the healthcare system.
1,1,2,4,2,2,2,There needs to be more transparency in healthcare costs.,The healthcare system is generally trustworthy but has some flaws.,I am not happy with the current state of healthcare.
