Timestamp,Respondent_ID,OpenEndedQuestion1,OpenEndedQuestion2,LikertQuestion1,LikertQuestion2,LikertQuestion3
2023-01-03 01:00:00,50,Excellent value for money.,Great customer support.,2,1,4
2023-01-03 02:00:00,51,It could use some improvements.,Great customer support.,3,4,2
2023-01-03 03:00:00,52,Excellent value for money.,I would recommend this to others.,2,5,1
2023-01-03 04:00:00,53,Not satisfied with the service.,I might not buy this again.,2,4,4
2023-01-03 05:00:00,54,I love this product.,I might not buy this again.,1,3,1
2023-01-03 06:00:00,55,Not satisfied with the service.,Great customer support.,1,5,5
2023-01-03 07:00:00,56,Not satisfied with the service.,I would recommend this to others.,4,1,2
2023-01-03 08:00:00,57,Excellent value for money.,Great customer support.,1,3,2
2023-01-03 09:00:00,58,Excellent value for money.,Great customer support.,4,5,5
2023-01-03 10:00:00,59,It could use some improvements.,I might not buy this again.,5,5,2
2023-01-03 11:00:00,60,It could use some improvements.,I would recommend this to others.,3,3,5
2023-01-03 12:00:00,61,Excellent value for money.,I might not buy this again.,4,3,4
2023-01-03 13:00:00,62,It could use some improvements.,I would recommend this to others.,5,5,2
2023-01-03 14:00:00,63,It could use some improvements.,Needs better documentation.,5,3,2
2023-01-03 15:00:00,64,Not satisfied with the service.,Great customer support.,4,5,2
2023-01-03 16:00:00,65,Not satisfied with the service.,I might not buy this again.,1,4,3
2023-01-03 17:00:00,66,Not satisfied with the service.,I might not buy this again.,4,2,4
2023-01-03 18:00:00,67,I love this product.,Needs better documentation.,4,4,5
2023-01-03 19:00:00,68,It could use some improvements.,I might not buy this again.,5,2,4
2023-01-03 20:00:00,69,I love this product.,Great customer support.,4,2,2
2023-01-03 21:00:00,70,I love this product.,I would recommend this to others.,2,5,5
2023-01-03 22:00:00,71,I love this product.,I might not buy this again.,4,3,3
2023-01-03 23:00:00,72,It could use some improvements.,I would recommend this to others.,5,2,4
2023-01-04 00:00:00,73,I love this product.,Great customer support.,2,1,5
2023-01-04 01:00:00,74,It could use some improvements.,Great customer support.,5,5,5
2023-01-04 02:00:00,75,Not satisfied with the service.,I might not buy this again.,5,4,5
2023-01-04 03:00:00,76,I love this product.,I might not buy this again.,3,2,3
2023-01-04 04:00:00,77,It could use some improvements.,Great customer support.,1,2,1
2023-01-04 05:00:00,78,I love this product.,I would recommend this to others.,4,2,4
2023-01-04 06:00:00,79,Not satisfied with the service.,I would recommend this to others.,4,5,2
2023-01-04 07:00:00,80,I love this product.,Great customer support.,4,4,5
2023-01-04 08:00:00,81,It could use some improvements.,I would recommend this to others.,1,2,3
2023-01-04 09:00:00,82,Not satisfied with the service.,Great customer support.,2,5,3
2023-01-04 10:00:00,83,Not satisfied with the service.,I would recommend this to others.,3,4,2
2023-01-04 11:00:00,84,Not satisfied with the service.,I might not buy this again.,1,4,4
2023-01-04 12:00:00,85,I love this product.,Needs better documentation.,3,5,2
2023-01-04 13:00:00,86,Excellent value for money.,Great customer support.,4,2,1
2023-01-04 14:00:00,87,Not satisfied with the service.,Great customer support.,3,1,4
2023-01-04 15:00:00,88,I love this product.,I would recommend this to others.,2,1,5
2023-01-04 16:00:00,89,It could use some improvements.,I would recommend this to others.,4,2,1
2023-01-04 17:00:00,90,Not satisfied with the service.,I might not buy this again.,4,5,5
2023-01-04 18:00:00,91,I love this product.,Needs better documentation.,2,5,5
2023-01-04 19:00:00,92,I love this product.,Needs better documentation.,1,5,3
2023-01-04 20:00:00,93,Not satisfied with the service.,Needs better documentation.,2,4,2
2023-01-04 21:00:00,94,Not satisfied with the service.,I would recommend this to others.,3,5,2
2023-01-04 22:00:00,95,Not satisfied with the service.,Great customer support.,5,2,4
2023-01-04 23:00:00,96,It could use some improvements.,Needs better documentation.,5,1,5
2023-01-05 00:00:00,97,Not satisfied with the service.,Needs better documentation.,5,5,5
2023-01-05 01:00:00,98,Not satisfied with the service.,I would recommend this to others.,5,3,3
2023-01-05 02:00:00,99,It could use some improvements.,Great customer support.,3,3,5
2023-01-05 03:00:00,100,It could use some improvements.,I might not buy this again.,2,3,2
